Customer_ID,Product_ID,Frequency
310020,103060209,1
9400009,201030402,1
9400009,103040203,1
9400009,101020503,1
9400009,101040401,1
9400009,201040303,1
9400009,103010301,1
9400009,201060202,1
9400009,201020401,1
5300016,102020705,1
5300016,104010805,1
5300016,101030804,1
5300016,103020705,1
5300016,203050603,1
5300016,101040905,1
5300016,104040703,1
5300016,203050806,1
700002,204011007,1
700002,102050907,1
5300016,102060508,1
5300016,104030301,1
5300016,104040201,1
5300016,302060309,1
5300016,104040309,1
5300016,103040201,1
7410014,104060403,1
7410014,102030305,1
7410014,103010205,1
7410014,101040302,1
7410014,103060404,1
7410014,203040403,1
3700011,103030701,1
3200007,201040709,1
3200007,204010508,1
3200007,103060807,1
3200007,103020607,1
3200007,102030609,1
3200007,102010609,1
3200007,104040706,1
7500008,102030109,1
7500008,102061009,1
7500008,201030110,1
3500006,109060605,1
3500006,110040806,1
3500006,110020605,1
3500006,110050903,1
3500006,110050806,1
3500006,104010605,1
3500006,202020503,1
310020,203061008,1
310020,104041001,1
2900003,102060805,1
2900003,103050106,1
2900003,104011008,1
3500018,210010907,1
3500018,210040907,1
3500018,104010106,1
7500008,204051007,1
7500008,104020807,1
7500008,210021005,1
7500008,210041007,1
7500008,104020805,1
7500008,204040908,1
7500008,204011007,1
7500008,104020907,1
3700011,102020206,1
3700011,103050206,1
3700011,103040106,1
700015,101010708,1
700015,101020706,1
700015,201060705,1
700015,203050606,1
700015,201040708,1
700015,101060608,1
700015,103010508,1
700015,101030708,1
700015,104030807,1
700015,102061008,1
7910010,102060108,1
7910010,210030206,1
100001,202030501,1
100001,204040602,1
100001,101050703,1
100001,202040503,1
100001,101050702,1
100001,102050701,1
100001,102060703,1
100001,102030402,1
700015,101051001,1
700015,104020909,1
700015,202060901,1
700015,102050910,1
700015,103020901,1
100001,203030101,1
100001,103010103,1
100001,103040101,1
7410014,103040607,1
7410014,103030709,1
7410014,201050709,1
7410014,301050706,1
7410014,203020506,1
7410014,103040506,1
7410014,103060607,1
9700013,108060605,1
9700013,207040405,1
9700013,107030705,1
9700013,108060502,1
9700013,207060703,1
9700013,206030703,1
9700013,106050707,1
9700013,107010703,1
9400009,210051005,1
9400009,110051007,1
9400009,304010806,1
9400009,104020905,1
9400009,104061006,1
9400009,104050806,1
9400009,110060806,1
9400009,110010907,1
3200007,104050905,1
3200007,201030905,1
3200007,104030705,1
3200007,202060903,1
310020,103040310,1
310020,101050309,1
310020,102050401,1
310020,102010109,1
310020,103020401,1
310020,102020201,1
310020,201060310,1
310020,103020210,1
3500018,203060504,1
3500018,103040606,1
3500018,103060404,1
3500018,103010706,1
3500018,101060407,1
3500018,103030404,1
700015,203041010,1
700015,204051010,1
3500006,104040402,1
3500006,104030301,1
3500006,104050601,1
3500006,102060501,1
7410014,104010205,1
7410014,101060405,1
7410014,203030105,1
700015,104061009,1
3500006,104050504,1
3500006,110030403,1
3500006,204020606,1
3500006,204050706,1
3500006,110020606,1
3500006,110020505,1
5300016,102030307,1
5300016,101020107,1
5300016,101030206,1
5300016,102040108,1
5300016,203050308,1
5300016,104040408,1
5300016,202050108,1
5300016,201030208,1
3500018,101060403,1
3500018,101040604,1
3500018,101010702,1
3500018,201020704,1
3500018,203030603,1
500017,104020603,1
500017,102030601,1
500017,109020303,1
500017,102050601,1
7910010,203030809,1
7910010,101050801,1
2900003,201040509,1
2900003,101030508,1
700002,201020509,1
700002,103050408,1
700002,103060207,1
700002,101050507,1
700002,103010509,1
700002,101020309,1
7200004,204020607,1
7200004,102060509,1
7200004,101050807,1
7200004,304060809,1
7200004,104030809,1
500017,104060507,1
500017,110050308,1
500017,110050307,1
500017,210050209,1
500017,104010107,1
500017,210050409,1
500017,104030408,1
3500006,201010605,1
7200004,110010509,1
7200004,204010510,1
7200004,104060401,1
7200004,210050508,1
7200004,110020308,1
7200004,104050308,1
7200004,104030607,1
7200004,104010508,1
7410014,103020809,1
7410014,101030809,1
7410014,204010801,1
7410014,102010801,1
7410014,102050801,1
7410014,104050601,1
700002,103040202,1
700002,103010103,1
700002,101020203,1
700002,101030301,1
700002,203010103,1
700002,101060304,1
700002,201030303,1
700002,101010201,1
5300016,105060401,1
5300016,208050601,1
5300016,205020608,1
5300016,106040401,1
3200007,201050905,1
3200007,103020903,1
3200007,103060904,1
7410014,102010504,1
7410014,101020705,1
9700013,104030804,1
9700013,101010805,1
9700013,204051005,1
9700013,101050803,1
9700013,103011005,1
9700013,102040905,1
9700013,101011005,1
700015,101060806,1
700015,101030705,1
700015,203060803,1
700015,201050804,1
700015,103010804,1
7410014,102060910,1
7410014,103020501,1
7410014,101060710,1
700015,103040308,1
700015,101010408,1
700015,201050409,1
700015,103050409,1
700015,201010208,1
700015,103020407,1
700015,103060209,1
310020,104010506,1
310020,210020406,1
310020,110050506,1
2900003,208020101,1
2900003,208010310,1
7500008,307020803,1
7500008,107020803,1
7500008,107010903,1
7200004,101030603,1
7200004,304040501,1
7200004,204030701,1
7200004,201030402,1
5300016,102040505,1
5300016,103050405,1
5300016,103060706,1
5300016,102030705,1
5210019,103020805,1
5210019,103030806,1
5210019,101050806,1
5210019,103021005,1
5210019,103010704,1
5210019,103010606,1
5210019,201060803,1
100001,101050410,1
100001,101030409,1
100001,201010508,1
500017,202060302,1
700015,104060801,1
700015,101040904,1
700015,103010101,1
700015,202060103,1
700015,102061002,1
700015,103040101,1
310020,104060104,1
310020,104010201,1
310020,104030104,1
310020,104020204,1
310020,101050202,1
310020,102030203,1
310020,102020204,1
7910010,201020804,1
7910010,101050805,1
7910010,202060804,1
7910010,101020905,1
3300012,103060106,1
3300012,203040206,1
3700011,103060210,1
3700011,202020110,1
3700011,304030201,1
2900003,102031006,1
2900003,110010804,1
2900003,204050805,1
2900003,104040408,1
2900003,101060109,1
2900003,102030209,1
2900003,101030410,1
2900003,104020210,1
2900003,103040410,1
2900003,204030307,1
2900003,302030401,1
700002,103030908,1
700002,201040804,1
9400009,107050102,1
9400009,107020201,1
9400009,206010301,1
9400009,105020301,1
3300012,103060408,1
3300012,201040307,1
3300012,203030309,1
3300012,103020410,1
3500018,104040806,1
3500018,104021006,1
3500018,109030805,1
3500018,109021006,1
7910010,204030805,1
7910010,102010903,1
7910010,103021002,1
700015,101060905,1
700015,103020805,1
3500006,105060504,1
3500006,107040505,1
3500006,106010604,1
3500006,108050503,1
3200007,102010503,1
3200007,303060701,1
7410014,302060210,1
7410014,103040409,1
7410014,104050309,1
7410014,102050609,1
700002,109011008,1
700002,210060107,1
700002,204031009,1
700002,210050109,1
700002,204010110,1
700002,104031007,1
700002,209010109,1
700002,109021009,1
3700011,104040704,1
3700011,104050704,1
3700011,101010805,1
3700011,203060704,1
3500006,103040401,1
3500006,203030401,1
3500006,104050402,1
700015,203060309,1
700015,101060309,1
700015,103050310,1
700015,101010401,1
700015,101040410,1
700015,101050501,1
700015,103020601,1
9400009,103060310,1
9400009,104050310,1
9400009,104020410,1
9400009,101020310,1
9400009,201030308,1
3200007,110020208,1
3200007,104010509,1
700015,101050105,1
700015,101030302,1
700015,104020102,1
3000005,203060502,1
3000005,103020503,1
3000005,103030504,1
5300016,103050809,1
5300016,103031010,1
5300016,203040108,1
7200004,101040309,1
7200004,101030507,1
7200004,102030403,1
7200004,109010403,1
7200004,309020701,1
7200004,110050503,1
7200004,109020704,1
7200004,202010703,1
7200004,104060601,1
700015,102050101,1
700015,103040110,1
700015,302030101,1
700015,203030108,1
700015,104060808,1
700015,104051009,1
700015,203040101,1
700015,101030101,1
5210019,210051005,1
5210019,110010905,1
3500006,101030410,1
3500006,101020210,1
3500006,102030401,1
3500006,103020408,1
3500006,204060209,1
3500006,204060210,1
3500006,102020407,1
3500006,103020310,1
5300016,102040704,1
5300016,103040604,1
5300016,202030506,1
5300016,102040705,1
5300016,104020704,1
5300016,104040604,1
5300016,204020507,1
5300016,102060606,1
700002,101030806,1
700002,103010603,1
700002,201060604,1
700002,101030605,1
700002,101060505,1
700002,103050505,1
5300016,103041007,1
100001,102050603,1
100001,102030603,1
5210019,201060203,1
5210019,201040105,1
5210019,103050205,1
5210019,104060203,1
5210019,103040103,1
5210019,103060105,1
2900003,202050208,1
2900003,102060306,1
2900003,201020209,1
3500018,110050104,1
3500018,110020104,1
3500018,204040103,1
7910010,101030501,1
7910010,104020201,1
7910010,101020510,1
9400009,101061005,1
9400009,103030904,1
9400009,102040804,1
9400009,104030704,1
7410014,110030307,1
7410014,104060408,1
7410014,210010406,1
7410014,110010307,1
7410014,110060408,1
7410014,105030609,1
7410014,108030809,1
7410014,207060709,1